text,label
" Weil es dein meisten Leuten verständlicherweise vollkommen egal ist, was die Gesellschaft oder jede andere dahergelaufene Diskursgruppe von ihnen hält.",1
" Gabalier?
Künstler?
Bruahahaha!",1
"Es sind immer dieselben bigotten verlogenen Berufsheilige die mit ihren eigenen sexuellen - mitunter kranken und unmoralischen - Phantasien nicht zurecht kommen und genau aus diesem Grund alles was anders ist verteufeln. 

Peinlich und nicht zeitgemäß",1
"ich sag jetzt mal Sie sind nicht das Problem, das Problem sind die 25 - 30% Wählerinnen und Wähler, die potentiell die Effen wählen.

Selbst wenn es eine Partei voller Pilze, Van der Bellens und Koglers gäbe, die würden die nicht wählen, stattdessen würde höchstens eine Umverteilung innerhalb der restlichen 75 - 70% stattfinden.

Aber im übrigen: ich für meinen Teil wähle schlichtweg das geringste Übel, und auch wenn mir einiges nicht passt bei den Grünen, aber da sind sie für mich immer noch bei weitem das kleinste Übel.",1
so ein psycho ,1
"Also das wäre ja wirklich ein Musterbeispiel !Verdachtsdiagnose! - weil ich die beschriebene Person bis dato nicht kenne:
kommt eine mittellose Afrikanerin aus Kamerun nach Österreich, lässt sich von der Wohnung über medizinische versorgung bis zur Ausbildung der Kinder alles vom Staat brennen, und wenn es nach 15-20 Jahren zur Zahlungsverpflichtung kommt, kehrt sie Österreich den Rücken, weil: "" woanders mehr weitergeht"" natürlich ohne vergleichbare Sozialleistungen für einheimische oder zuwandernde Sozialfälle.
Sollte irgendetwas von meiner VD stimmen möchte ich von ""diversity management"" lieber nix mehr hören und sehen",1
" erstens ist die Zahl erfunden, und selbst wenn..., wenn deren kultureller Hintergrund der ""anatolische Islam"" gewesen wäre, dann wärs nix mit Gleichberechtigung zw. Mann und Frau, nix mit Life Ball, Conchita Wurst usw. ums mal so zu formulieren",1
"Wie oft noch? Wann kapiert der letzte der roten Gfrieser, das mit der ÖVP kein Land zu machen ist?
Jede Wahl verlieren, aber danach immer mehr und bessere Posten. Die SPÖ medial prügeln als Wirtschaftsdeppen, aber in einer Nacht alleine bei den Bayern mal schnell 18 Miliarden versenken. Danach krank sein, und bei der schwarzen Mafia RAIFFEISEN als  Farina und Finis Feinste Vorstandssprecher (LLI).
Was opfert diese SPÖ noch alles für einige Tage an der Macht?
Also wenn nicht mal bald eine andere Politik kommt, ist der letzte Wähler noch bereit die ""Barbabas"" zu wählen als die ehemals zwei Großparteien.",1
"Wieso? Ich betrachte es als linkes Projekt, nicht archaischen Clans, die ihre Frauen aus religiösen Gründen verschleiern und nicht arbeiten gehen lassen, eben genau NICHT bevorzugt Sozialwohnungen zukommen zu lassen.

Denn auch viele Kinder kriegen müssen als Frau, das ist auch kein sozialistisches Ideal.

Wo in der Geschichte der Sozialdemokratie finden Sie Hinweise, dass reaktionäre frauenfeindliche Lebensentwürfe bevorzugt zu behandeln sind?",1
 also der Trump plus Stronach (weil: in Austria sans zu blede für mikch) und als Gastredner der Lugner .......... das hätte was ...... wäre dann eine Massenkarambolage,1
" Nicht jede Vereifachung, erfasst den dahinter liegende Sinn. Sie sollten diese Stilart noch ein wenig ueben (aber bitte nicht hier)",1
"first gallant south carolina nobly made the stand, then came alabama and took her by the hand ...

das ist nicht die fahne der konföderation, aber das ist wohl den meisten der beteiligten schwätzer relativ egal ...

mfg",1
 ja die meisten f-fanboys sind sich auch nicht ganz bewusst wovon sie da fan sind...,1
"Sie regen sich auch... ...sicher ueber die Hetze der FPOe auf. Wenn ja, wuerde ich mich einmal vor den Spiegel stellen.",1
" Ich denke, sie hat definitiv ein Gespür für Finanzen.",1
 wo kann man sich von dem Typen belästigen lassen und dann ein paar Mio kassieren? Da mache ich sogar als Hetero-Mann mit.,1
" wohnung in new york bezahlt bekommen, teure geschenke und als sahnehäubchen gibt es jetzt noch 18 millionen...keine schlechte ausbeute (schon klar, dass man dann die belästigungen auch mal ein jahr aushaltet und nicht schon früher klar macht, was sache ist...)",1
"wow... da soll noch jemand behaupten opfer zu sein zahlt sich nicht aus...

dafür würd ich mich auch belästigen lassen...",1
"""hatte die Schwedin als Assistentin eingestellt und ihr bald auch teure Geschenke gemacht und die Wohnung in Manhattan bezahlt."" .
also sich zuerst(!) teure Geschenke machen lassen und eine (sicher SEHR teure) Wohnung in Manhattan bezahlen lassen, und ihm erst ""nach einer Weile"" erklären, dass sie nicht mehr bereit sei, dafür die geforderten ""Gegenleistungen"" zu erbringen, ist schon etwas fragwürdig. 
keine Frage, dass sie sich die nachfolgenden Beleidigungen und Nachstellungen nicht gefallen lassen muss, aber ob das alles 18 Millionen Dollar wert ist???",1
" ähm verhältnissmäßigkeit ????
die opfer vom deutschen flügzeugabsturtz, also deren verbliebene bekommen gerade mal 100.000 und denen ist ein vater mutte5r sohn tochter ect genommen worden. für die summe was die schwedin bekommen hat sollte mehr inkludiert sein als anbaggern und nachstellen ein jahr ausazuhalten. bitte nicht falsch verstehen ist natürlich abzulehnen sowas gutzuheissen. aber andere menschen gehen ihr ganzes leben lang schwer arbeiten und bekommen das nicht zusammen. also ich würde mir für 18 mille und ein in folge sorgenfreies leben für die nächten 60 70 jahre wesentlich mehr gefallen lassen.
das urteil ist ein witz und ein schlag ins gesicht all jener die wesentlich mehr leiden müssen und dafür keinen cant bekommen !!!",1
" hätte die frau gleich bei den ersten belästigungen wirklich gesagt, was sache ist, dann wäre sie wohl weniger belästigt worden und hätte den job verloren, hätte aber ein jahr lang nicht umsonst in new york wohnen können und wäre heute um 18 millionen dollar ärmer..honi soit qui mal y pense!",1
" Hm, und die Geschenke und die Finanzierung der Wohnung hat sie angenommen und behalten?",1
" Ich denke, sie hat ein Gespür für Geld.",1
"18 Mio USD in einem Jahr? Kein schlechtes Einkommen.... ich frage mich ja nur, wie sie das Martyrium 1 Jahr lang ausgehalten hat. Oder wurde sie von ihrem Peiniger eingesperrt und konnte erst danach flüchten?",1
"Ich denke das ist nicht so einfach denn wenn ich jetzt ein Notstandsbezieher bin, wir das sexuelle Belästigen halt sehr günstig.
Andererseits laufen dann vielleicht ein paar Frauen mit einem ""Könnte mir bitte ein Millionär an den Po greifen"" T-Shirt herum :)",1
"""Ich habe eine Menge durchgemacht"".. ..aber nach der Gratiswohnung und den Geschenken hab ich mir gedacht:

da geht noch was...!",1
 wenn der kleine chinese so dämlich ist .... deppensteuer heisst das.,1
 wenn der kleine chinese so dämlich ist .... deppensteuer heisst das.,1
 offensichtlich. die argumentation des beklagten geht also ins leere :),1
" Also, als er Geschenke gemacht hat und die Wohnung bezahlt hat, da war das in Ordnung, oder wie? Erst als er eine Gegenleistung wollte, da wurde die Dame knausrig.

Wenn man unmoralische Angebote annimmt, dann muss man auch seinen Teil der Abmachung erfüllen. Der Chinese hat recht! Die Frau ist eine H., eine der übelsten Sorte, eine linkische H.!",1
" Also, als er Geschenke gemacht hat und die Wohnung bezahlt hat, da war das in Ordnung, oder wie? Erst als er eine Gegenleistung wollte, da wurde die Dame knausrig.

Wenn man unmoralische Angebote annimmt, dann muss man auch seinen Teil der Abmachung erfüllen. Der Chinese hat recht! Die Frau ist eine H., eine der übelsten Sorte, eine linkische H.!",1
"""sexuelle belästigung"" was wirklich passiert ist, kann man aus dem kurzen artkel eigentlich nicht rauslesen. sexuelle belästigung in dem sinne, in dem ich man es normalerweise versteht, kann ich da weniger rauslesen, das ist schon mehr oder was anderes. man könnte da wohl ganz verschiedene narrative draus basteln. eines, in dem sie ein armes, kleines, wehrloses opfer ist und er das große monster ist, das sie stalkt. oder eines, in dem er wirklich unglücklich verliebt in sie war und sie ihn zuerst ausgenutzt und dann hängen gelassen hat und er ihr deswegen nachgereist ist ...",1
"""Musste ein ganzes Jahr lang seine Belästigungen ertragen"" Warum? Wurde sie in der Wohnung in Manhattan gefangen gehalten? Haben sie die Geschenke paralysiert und davon abgehalten Anzeigen gegen ihre Chef einzubringen? Was hat sie sich gedacht, was der Herr unter ""fühlbare Liebe"" versteht? 

Naja, hauptsache sie ist jetzt wieder glücklich und erleichtert und kann für ihre Wohnung sogar selbst aufkommen...",1
" um 2 Millionen, aber sonst gebe ich Ihnen recht.",1
" Der Mann behauptet dagegen.....sie habe aber kein Gespür für Finanzen gehabt.

Scheinbar hatte sie das doch.",1
super Geschäftsmodel ,1
 Offensichtlich hat sie ein ganzes Jahr mitgespielt und nicht gekündigt.,1
"Vielleicht nicht ein Jahr, aber eine Weile: ""..hatte die Schwedin als Assistentin eingestellt und ihr bald auch teure Geschenke gemacht und die Wohnung in Manhattan bezahlt. Dafür forderte er eine Rundumbetreuung und ""fühlbare Liebe"". Als sie ihm nach einer Weile deutlich machte, dass sie ein rein berufliches Verhältnis wolle, habe er sie beleidigt...""

Sie hätte das auch sofort und nicht nach einer Weile klarstellen können.",1
"Mein Chef ist auch ein Arsch Also, warum bin ich noch nicht Multi-Millionär? Liegt's am Zumpferl?",1
"Mein Chef ist auch ein Arsch Also, warum bin ich noch nicht Multi-Millionär? Liegt's am Zumpferl?",1
" ""sie habe aber kein Gespür für Finanzen gehabt.""

so nennt man es also, wenn eine frau keine lust auf lutschen hat?",1
" ""sie habe aber kein Gespür für Finanzen gehabt.""

so nennt man es also, wenn eine frau keine lust auf lutschen hat?",1
" Ich finde der ihr Gespür für Finanzen eigentlich schwindelerregend.

Neid und Anerkennung!",1
 trottel,1
"Ihr Chef, ein in China geborener 43 Jahre alter Investmentbanker, hatte die Schwedin als Assistentin eingestellt und ihr bald auch teure Geschenke gemacht und die Wohnung in Manhattan bezahlt. Wäre er Ende 20 gewesen, gutausehend und Milliardär, dann wäre wohl aus der Schwedin eine Ana Steel geworden ....

;-)",1
" Sie hat sich gedacht: Den Widerling nehm ich aus wie eine Weihnachtsgans, und der Plan ist aufgegangen.",1
" Na, wenn der Trottel nach Schweden nachreist und rumzickt, ist er schon selber schuld...",1
hätte auch kündigen können wenns so schlimm war aber anscheinend hat sie lieber Geschenke für Geschlechtsverkehr genommen - naja,1
"Wo bitte kann ich mich belästigen lassen? Für 18 Mio lass ich mich ganz ordentlich belästigen und in meinem Heimatkaff von mir aus auch als Hure beschimpfen.

Wo darf ich mich melden? Ich wäre in williges, aber nicht billiges Opfer!",1
"Als sie ihm nach einer Weile deutlich machte, dass sie ein rein berufliches Verhältnis wolle hatte sie wohl vergessen, daß sie sich vom chef u.a. die wohnung zahlen ließ",1
"Weil sie ihren Job nicht gekündigt hat ist sie mitschuld das der Chef sie belästigt hat? wohl eher dadurch, daß sie sich hat aushalten lassen",1
Kann mich bitte auch jemand sexuell belaestigen? Ich nehme Haus & sonstige Geschenke auch an wenns denn unbedingt sein muss ;),1
"nein muß sie nicht aber es ist doch naheligend, daß man die wohnung nicht jedem zahlt.

somit hätte sie zb. auch ablehnen können. aber sie wollte natürlich die vorteile geniesen und deshalb hat sie es nicht getan.

und für sowas 18 millionen - ich mein selbst dem linkesten linken müßte doch klar sein, daß das gänzlich überzogen ist.
soviel bekommt man sonst nichtmal als schadenersatz wenn man tatsächlich vergewaltigt wurde.",1
"Sie hat halt gepokert.... ....und zwei mal gewonnen. Dass das trotzdem Nerven kostet ist ganz klar, fuer ein paar Millionen und einer Wohnung in Manhatten aber ganz ok wie ich meine.",1
"ich hab nur den bericht im TV gesehen, seltsam was die frau ""davor"" alles über sich ergehen lasen mußte. gehaltserhöhung von 1800 USD auf 2500 USD, eine Wohnung von hm finaziert  ............... ähm wann begann die dame eigentlich nachzudenken ??
erst als ihr eingefallen ist, das man in ami-land ja kohle machen kann vor gericht ??",1
dann ists auch nicht eine hure Expertin auch nicht für sowas zwischenmenschliches aber gut.,1
" Solange ich die Fakten nicht selber sehe, glaube ich ihr sowieso kein Wort. 

Nach Kachelmann und Emma Sulkovicz (auch USA) ist das erst Mal nicht mehr möglich, denn in beiden Fällen wurde nur gelogen. Könnte auch in diesem Fall alles erfunden sein.",1
 Vor allem in der teuren Wohnung in Manhattan.,1
" na geh, die arme. die wohnung hat sie wohl genommen, genauso die geschenke. hat sie vielelicht geglaubt sie bekommt das weil sie so schnell schreiben kann?!",1
" Dass sie kein Gespür für Finanzen habe, wäre damit wohl widerlegt.",1
"""Ich bin so glücklich und erleichtert"" Ja, verstehe ich, gut angelegt und sie hat ausgesorgt.

Zusammenfassung: 
Neben der zukunftsreichen Ausbildung bekommt Assistentin des Investmenbankers Wohnung und Geschenke, sie nimmt dies an, gibt im Gegenzug ""fühlbare Liebe"".
Nachdem sie nach einer Weile die Beziehung beendet hat, beginnt er sie zu beschimpfen.

Wo ist die sexuelle Belästigung?

Das arme Mäderl aus dem kleinem schwedischen Ort wir Opfer eines in China geborenen Monster, oder wie?",1
"sie hatte halt doch G'spür für's Finanzielle und als sie mit ihm keinen Sex mehr haben wollte und in der von ihm bezahlten Luxuswohnung der neue Lover war, gab's Ärger. 

Ein Klassiker. Aber früher nannte man solche Frauen nicht H...., sondern Kurtis....",1
" doch, sie hatten anfangs Sex aber später nahm sie von ihm nur mehr das Geld in die Hand",1
 für 18 Millionen lass ich mich jetzt auch mal sexuell belästigen,1
Ein chinesischer sexistischer Idiot und eine schwedische Goldgräberin Willkommen im globalisierten 21 Jahrhundert,1
Ein chinesischer sexistischer Idiot und eine schwedische Goldgräberin Willkommen im globalisierten 21 Jahrhundert,1
"das problem ist halt sehr viele frauen verlangen dieses verhalten aber und verwandeln dann ihr nein in ein ja.
gibt millionen von beispielen in denen das funktioniert hat, daß ""er sich so bemüht hat um mich"".",1
