id,text,label
1911443,das alles ist wie Selbstbefriedigung...denn schon wieder oder immer noch wieder kümmern sich unsere Politiker nur um sich selbst und nicht um die Arbeit...da frage ich mich warum wählt ihr Idi... die eigentlich noch statt sie zu ....der einzig richtige Weg aus dieser Scheixxe ist Anarchie! ,1.0
1911581,"Vor Merkels denkwürdiger Flüchtlingspolitik kannte man Gruppenvergewaltigungen praktisch nur aus Auslandsberichten. ""Dank"" Frau Dr. Merkel und ihrer Gefolgschaft hat diese Perversität Einzug in Deutschlands Alltag gehalten.  Da komme  mir nur noch einer mit dem Eid: Alles zum Wohle des Deutschen Volkes.",1.0
1912639,"Es mag sein,das die Schwarzen diese Aussagen als ernidriegend und verletzen erachten. Das ändert nichts daran, das sie REALITÄT sind! Ebenso in Kongo, Tansania, Somalia, Eritrea ... Da kann man sich schon einmal auf unsere neuen Goldstücke freuen, die nach Unterzeichnung des UN Migrationspaktes in Massen kommen werden!",1.0
1913283,Ein absoluter Vollhonk. Sollte besser Bankkaufmann lernen. ,1.0
1913801,"Obama muß sich doch nur einmal nach Deutschland schauen. Dann wird er sehen, wieviel Tod, Terror, Vergewaltigungen, Überfälle, Messerattacken und weitere schwerstkriminelle Taten durch Asylanten ausgeübt worden sind und leider auch immer noch werden.",1.0
1913917,"Ein Kannibale ist in der agierenden Pädophilenpartei recht gut aufgehoben. Im Anschluss ihrer inzestiösen und pädophilen Vergehen, können die Steineschmeißer ihre Beweise verschwinden lassen.  Viel Glück noch...... Und ich lad schonmal den Karabiner durch. ",1.0
1913935,"Ein Kannibale ist in der agierenden Pädophilenpartei recht gut aufgehoben. Im Anschluss ihrer inzestiösen und pädophilen Vergehen, können die Steineschmeißer ihre Beweise verschwinden lassen.  Viel Glück noch...... Und ich lad schonmal den Karabiner durch. ",1.0
1914425,"Nahles: ""Und jetzt gibt´s was auf die Fresse"". ABER auf die eigene von Nahles. UND das ist GUT SO:",1.0
1915085,"Warum spielen immer muslime terrorspiele ? Und das weltweit. Wenn wir den Kampf um das Wasserloch in Afrika mal rauslassen, sind 95 % der aktuellen Kriegshandlungen / Anschlaege islambedingt ! Ja groko, holt mal noch mehr von den geistig Minderbemittelten ins Land. Die schaffen uns. Ist doch wohl das eherne Ziel von ADK oder besser bekannt auch als 'Erika'. ",1.0
1915155,"""Die Migranten fliehen vor Armut und Gewalt in ihren Heimatländern""  Man kann vor den Problemen nicht weglaufen, man kann sie nur vor Ort lösen.  In Wirklichkeit bringen Migranten aus Lateinamerika allzu oft Armut und Gewalt in die USA. Siehe L. A, siehe Miami, etc.   Schade um dieses großartige Land. ",1.0
1915227,"Nach diesem ""Linksradikalen""-Unsinn steht nicht nur der längst überfällige Rausschmiss, sondern wohl dringend auch eine Überprüfung des geistigen Zustands dieses Herrn an. Die jahrelange Be-Seehoferung hat wohl Spuren hinterlassen. Wer so redet , für den ist anscheinend alles -außer AfD- ""linksradikal"". So kann man vielleicht am Nationalisten-Stammtisch blöken, aber nicht in dieser Position. Ein Fall für den Psychiater!",1.0
1915713,hört endlich das Jammern auf...schiesst einfach mehr Tore als der Gegner und seid so ausgebufft das IHR den Elfer bekommt und die Welt ist wieder in Ordnung...aber das Jammern ist einfach nur peinlich nicht nur das ihr die LOSER seid ihr macht euch auch noch lächerlich!  Was seid ihr nur für Waschweiber...habt ihr eure Mutti schon angerufen?,1.0
1915951,"Die Dame haut sich doch laufend selbst eine in ""die Fresse"" ... Und gehört abgelöst!",1.0
1916061,"Fragen uns jeden Spieltag0  ""Wie schaffen es diese  ""Chaoten"",  diese  ""hirnlosen Idioten"",  diese  ""Vollpfosten"",  wie soll man sie sonst noch benennen,  dieses  ""Zeug""  in die Stadien zu bekommen ???? -   Die kontrollierenden Verantwortlichen  schlafen, in unseren Augen, ganz ganz gewaltig,  oder  . . . . . . . . .  =  das wagen wir gar nicht auszusprechen !!!! - ",1.0
1916355,"Schröder, der völlig abgedrehte Putin-Vasall.....  Hochnotpeinlicher Ex-Kanzler.....schon damals ein Opportunist.... Er hält die in *die Fresse schlagende* Nahles wahrscheinlich auch für kompetent.... Exakt der Grund, warum die SPD bald in Richtung---sich stabil haltende 15 %-- hineindämmert.",1.0
1916375,Oh Frau ANahles wie geht `s  denn weiter?  Ich denke wie als Großmaul versprochen  hau Dir  selbst in die Fresse.  ,1.0
1916565,"Pardon, aber mit dem Kolben im Gesicht ""Sexiest Man Alive""?  Diese gewollte Gleichmacherei nimmt immer groteskere Züge an.",1.0
1916639,"Umgekehrt wird ein Schuh daraus! Wenn diese Ultra-Pappnasen nicht mehr zündelnd und gröhlend die vielen Anhänger verschrecken würden, die gerne kommen würden (mit Kinder), dies aber wegen dieser Intelligenzfreien nicht tun, wäre das Stadion voll. Und wenn die Mannschaft gut spielt und alles gibt, braucht es auch keinen psychopathischen Einpeitscher, denn dann ist Stimmung von alleine da!!",1.0
1916661,"Ah, auch bei dem muss wohl ein neues Thema her, wo ihm das Wasser inzwischen schon bis zum Hals steht. https://www.handelsblatt.com/politik/international/frankreich-macrons-umfragewerte-sacken-weiter-ab/23102832.html?ticket=ST-952192-PMmHMjbMiJ1KoCLTch5e-ap1",1.0
1917097,"Schöne Forumlierung: Deutsche Staatsangehörige,  alsokeine eingeborenen Deutschen. Warum nennt man nicht die Wurzeln der Täter dazu? Immer diese Desinformationspolitik!",1.0
1917139,"Merkt der ""Alte Mann"" denn nicht. daß sein Stern schon längst erloschen ist? Also Gerd, Klappe halten. Und kümmere dich um dein Liebesleben und deine Russenfreunde!",1.0
1917407,"Warum spielen immer muslime terrorspiele ? Und das weltweit. Wenn wir den Kampf um das Wasserloch in Afrika mal rauslassen, sind 95 % der aktuellen Kriegshandlungen / Anschlaege islambedingt ! Ja groko, holt mal noch mehr von den geistig Minderbemittelten ins Land. Die schaffen uns. Ist doch wohl das eherne Ziel von ADK oder besser bekannt auch als 'AM'. Auch hier im 'deep south' von Thailand mit ca. 300 Toten pro Jahr sind es immer islamistische Terroristen die toeten. ",1.0
1919099,"Endlich !  Ich freue mich für die Bewohner des Dorfes sodass jetzt wieder , hoffentlich , Ruhe für diese einkehrt . Denn diese vermummte Nachbarschaft braucht keiner ......",1.0
1919167,"Politiker sind alles Dummschwätzer, Arbeiten tun die auch nicht. Die können gar nicht arbeiten. Die bekommen alles für Lau",1.0
1919169,Trump ist kein Mensch mit Gehirn,1.0
1919295,Wird es den Linksradikalen zu kalt in ihren Baumhäusern? Erbärmliches Pack!,1.0
1919993,"Ich erinnere mich, irgendwann, irgendwo mal gelesen zu haben, dass die Umsetzung zur Einhaltung der Stickoxide schon seit Jahren überfällig ist. Man also gegen die Gesetzgebung hantiert, richtig? Und wenn der Kleine da jetzt die Fahrverbote als ""rechtswidrig"" bezeichnet, setze ich ihn auf die gleiche Schiene wie die Baumaffen im Forst - die hantieren auch ""nur"" gegen das bestehende Gesetz und fühlen sich im Recht. ",1.0
1920655,"Solange die ideologisch verbohrten, linken, selbsternannten Guten keinen Unterschied zwischen ""Rechts"" und ""Rechtsextrem"" hinbekommen, kann man diese geistigen Minderleister nicht für voll bzw. zurechnungsfähig nehmen.",1.0
1921421,"Diese Antwort wäre für den Lumpen angemessen gewesen: ""Get the hell out of here you a...hole"". Es ist wirklich eine richtige Flegelei was sich dieser Rassist und Fremdenfeind und Politclown da mal wieder geleistet hat.",1.0
1921767,An Arroganz und Spinnerei nicht mehr zu überbieten Herr Merz. Sie tauchen aus dem nichts aus und wollen Millionen von Wählern den Kampf ansagen? Misten Sie den Stall mal richtig aus und trennen Sie sich von der Blockade und Betonpolitik oder schaffen Sie das nicht?,1.0
1922321,"""Ich lebe normalerweise davon, dass ich schnell denke....""  da muss der warmduscher aber schon längere zeit schlecht leben ""....dass war heute zweimal nicht der Fall, ganz schlimm..."" da soll er mal die national-spiele addieren bei dem er soviel verbockt. da kommt er auf die gleiche summe von fehlern. schlichtweg ein jammerlappen isser und schon seid jahren nicht mehr wie eine winter-hummel ! ",1.0
1922581,"Jaja.....so sind  ´se, die Weiber! Un dwenn er sie verschmäht hat, wird auch sie sich bei dieser merkwürdigen ""me too"" Bewegung anmelden, als Enttäuschung, dass er sich für sie nicht wikrlich interessiert hat. Warum denn auch?! Hat er doch die bestaussehendste First Lady, die die Welt jemals gesehen hat. Merkel? *urgs*, schon allein der ihre Fingernägel....bäääh.",1.0
