text,label
das alles ist wie Selbstbefriedigung...denn schon wieder oder immer noch wieder kümmern sich unsere Politiker nur um sich selbst und nicht um die Arbeit...da frage ich mich warum wählt ihr Idi... die eigentlich noch statt sie zu ....der einzig richtige Weg aus dieser Scheixxe ist Anarchie! ,1.0
Na Gott sei Dank!!! Wen soll er denn auch beschleimen wenn er an der Spitze ist?,1.0
"Naja, er kann sich ja schlecht daneben stellen und ""Absaufen! Absaufen!"" brüllen. So geht nur die AFD mit Menschen in Lebensgefahr um. ",1.0
Oh Gott - jetzt lässt Kellermann auch noch den kleinen Sorgatz raushängen. waren das Spiel und  das Ergebnis gestern  nicht schon schlimm genug? ,1.0
"Mal gespannt.  als Ausrede warum er niemals beim Volke war ( HambachDemo etc.) hatt er ja die ""Nichteinladung"". Aber na ja. Er wohnt in Aachen, arbeitet in Düsseldorf.... Da wird er die Dörfer beim täglichen vorbeifahren ja kennen ?? !! Ähnlich wie seinerzeit Lersch-Mense, welcher bei der damaligen Grundsteinlegung am Umsiedlungsort davon ausgegangen ist das Keyenberg bereits weg sei............. Die sind alle soweit weg von uns.",1.0
Bekommen die Mitglieder der Familie G. immer noch Hartz IV ?,1.0
"Die IG Kö hat offensichtlich die Zeichen der Zeit nicht erkannt. Dass zum Gefallen einiger Superreicher die Kö weiterhin durch Autos verstopft bleiben soll, kann ja wohl nicht Anliegen der Mehrheit der Besucher und der Geschäftsinhaber sein.",1.0
"Die IG Kö hat offensichtlich die Zeichen der Zeit nicht erkannt. Dass zum Gefallen einiger Superreicher die Kö weiterhin durch Autos verstopft bleiben soll, kann ja wohl nicht Anliegen der Mehrheit der Besucher und der Geschäftsinhaber sein.",1.0
"Die IG Kö hat offensichtlich die Zeichen der Zeit nicht erkannt. Dass zum Gefallen einiger Superreicher die Kö weiterhin durch Autos verstopft bleiben soll, kann ja wohl nicht Anliegen der Mehrheit der Besucher und der Geschäftsinhaber sein.",1.0
"Die Ossis in Schmalkalden/Suhl leben halt hinter dem Mond bzw. 50 Jahre hinter der Realzeit zurück, die Region hat ja auch zu 23 % AfD gewählt. ",1.0
"Der Täter---mal wieder---ein Muslim....dort gehören neben der ""Ehre""  Messer dazu, um eben diese Ehre bis aufs Blut zu verteidigen.",1.0
Leider können wir krimminell Ausländer nicht so schnell los werden. ,1.0
"Dieser Präsident hat übrigens schon mehrfach Morde in Interviews gestanden, oder vielmehr sich dafür gerühmt, falls das in Vergessenheit geraten ist. Und nun kann man mal raten, welcher andere Staatsführer ein ganz großer Fan von dem ist...   ",1.0
Der Bubi hätte sowieso nicht für den Polizeidienst getaut! Jetzt will er sich wichtigmachen!,1.0
Ein absoluter Vollhonk. Sollte besser Bankkaufmann lernen. ,1.0
"Na wenigstens konnte die Ärztin noch ihr ok geben. Bei Schwerverbrechern und Intensivtätern ist die Abschiebung schwieriger. Fiat justitia!!! Gott sei ist die Dame blind; könnte sie sehen, wäre das ein Fiasko für so manchen Richter.",1.0
"Jetzt verstehe ich endlich warum die Mauer Antifaschistischer Schutzwall hieß. Macht Sinn. Ebenso die Ausführung dieses Walles, war er doch von West nach Ost durchlässiger als andersherum.",1.0
"Wenn das alles so unverbindlich und nur quasi als Denkmodell gedacht ist, wieso kommt dann in den 32 Seiten des Paktes 93 mal das Wort ""Verpflichtung"" vor.  Hier den Link zu der deutschen Übersetzung  https://www.dropbox.com/s/rqmq8jwcgma9a14/Un-Dokument_Migration_2018.pdf",1.0
Lesen Sie selbst : http://www.un.org/depts/german/migration/A.CONF.231.3.pdf,1.0
"Ein Kannibale ist in der agierenden Pädophilenpartei recht gut aufgehoben. Im Anschluss ihrer inzestiösen und pädophilen Vergehen, können die Steineschmeißer ihre Beweise verschwinden lassen.  Viel Glück noch...... Und ich lad schonmal den Karabiner durch. ",1.0
"Seine unglaubliche Dummheit macht Kühnert gefährlich. Für die SPD und für das ganze Land. Er glaubt offenbar, dass er mit Dreistigkeit und dummem Geschwafel über seine intellektuellen Defizite hinwegtäuschen kann. Ich hoffe, dass auch die SPD selber das erkennt und dieser Cretin in der deutschen Politik keine Zukunft hat.",1.0
"Leute..glaubt den Mist doch nicht der hier von regierungsfreundlichen Blätter und Medien verbreitet wird! Warum sind wohl Länder wie Österreich, Ungarn, Polen, USA, Tschechien usw. dagegen? Weil die alle doof sind? Oder alles Nazis? Nein die hören auf ihre Bevölkerung! Hier wird nur noch gegen die Interessen des Volkes Politik gemacht!",1.0
"Ob ich mich traue den link zum Text zu lesen? Vielleicht verliert dann die Presse ihren letzten Rest Glaubwürdigkeit. Möchte ich das, oder möchte ich mich lieber weiter anlügen lassen? ",1.0
