text,label,five_folds,ten_folds,train_test_split
Trump ist echt Klasse super er macht Amerika wirklich Riesig  aus ganzen 2000  Immigranten Millionen machen ein wahrer großer Geschäftsmann !! Und die Ammis nehmen Ihm sogar 10.000000 ab !! welch ein großer dump,1.0,4,8,1
"Das wäre ja auch noch schöner, wenn es gegen die Verfassung verstoßen würde, dass ein Bürgermeister sich für Demokratie und gegen Rassismus und fremdenfeindliche Hetze einsetzt.  Dass die AfD das anders sieht, sagt viel über sie aus. ",0.0,4,8,1
"„Wir betrachten die Entwicklung im Osten wie einen Autounfall“  So Herr Kevin Kühnert von der SPD. Allein die Wortwahl zeigt, dass auch er nixx begriffen hat. Das Haus Demokratie brennt im Keller liebe Leute von der SPD. Aber lasst einmal gut sein. Ihr seid eh fertig und überflüssig und politische Zwerge.",1.0,4,8,1
"Entschuldigung, aber wie hohl muss man in der Birne sein um sowas zu machen?",1.0,4,8,1
"So wie der rechte Kommentatoren-Verein hier aufheult, scheint Frau Dreyer auf dem richtigen Weg zu sein.",0.0,4,8,1
"Hervorragendes Programm. Dann sind wir diese Partei ja endlich bald wieder los und können uns wieder vorwärts orientieren, anstatt zurück vor 1914.",0.0,4,8,1
"Gegendemos wollen anderen Menschen ihr Recht auf freie Meinungsäußerung verhindern. Warum hetzt man diese auf einander? Was will man damit erreichen? Gegendemos kommen in der Regel von Linken und Grünen sowie von der organisierten Antifa ,die selbst faschistische Tendenzen haben. Unser Staat gehört nicht den Linken und Grünen ,sondern alle Richtungen haben ihre Berechtigung ,das ist Demokratie.",0.0,4,8,1
Hat Greta denn eine ESTA?  Allerdings berechtigt ESTA ja nur zur Anreise; aber nicht zur Einreise!! Das entscheidet ein Beamter der Zoll- und Grenzschutzbehörde! Man könnte das Problem Greta also ganz einfach lösen!,1.0,4,8,1
"Man mag sich gar nicht vorstellen, was passiert wäre, wenn der von der Neo-Nazi-Partei österreichischer Präsident geworden wäre. Ob der auch so konsequent den Strache und den Kickl in die Wüste geschickt hätte? Wohl kaum.",0.0,4,8,1
"Leider hat die Ex-SED mit der Grundaussage Recht  Trotz vielfacher anderslautender Versicherungen von Wirtschaft und Politik werden nach wie vor ältere Fachkräfte wegen ihres Alters nicht eingestellt. Es regiert immer noch der Jugendwahn und das auch in Unternehmen, deren oberste Führungskräfte deutlich über 60 Jahre alt sind.  Das wird aufgrund der Gesetzeslage offiziell nicht zugegeben. Unter der Hand wird das aber von vielen Mitarbeitern in Personalabteilungen bestätigt.",0.0,4,8,1
