,Unnamed: 0,id,Text,Reject Newspaper,Reject Crowd,Rejection Count Crowd,Sexism Count Crowd,Racism Count Crowd,Threat Count Crowd,Insult Count Crowd,Profanity Count Crowd,Meta Count Crowd,Advertisement Count Crowd
84954,84954,2502161,"""Wir waren ein Mann mehr"" - für mich ist Ayhan kein Mann mehr. Nur ein Simulant, Lügner und Erdogans Salut-Boy. Ich schäme mich ihm in meinem beliebten Club zu haben.",1,1,4,0.0,2.0,0.0,4.0,1.0,0.0,0.0
84953,84953,2502157,"""Wir waren ein Mann mehr"" - für mich ist Ayhan kein Mann mehr. Nur ein Simulant, Lügner und Erdogans Salut-Boy. Ich schäme mich ihm in meinem beliebten Club zu haben.",1,1,4,0.0,1.0,0.0,4.0,0.0,0.0,0.0
84944,84944,2501269,Wo bleibt nur Lee Harvey Oswald II.?,1,1,4,0.0,0.0,3.0,0.0,1.0,0.0,0.0
84942,84942,2501263,Wo bleibt nur Lee Harvey Oswald II.?,1,1,4,0.0,0.0,3.0,0.0,0.0,1.0,0.0
84943,84943,2501265,Wo bleibt nur Lee Harvey Oswald II.?,1,1,4,0.0,0.0,3.0,0.0,0.0,1.0,0.0
84855,84855,2484033,"Puch the button  Die oberen 10.000 sitzen in ihren  A-Bunkern und eliminieren im Ernstfall den rest der Weltbevölkerung um eine ""schöne neue Welt"" zu gründen. Atombomben sind so sinvoll wie aus einen leeren Glas zu trinken. Man sollte Weltweit alle entsorgen und nur ein oder zwei auf den Weltraum richten falls ein Komet uns trifft.  ""Nach dem dritten Weltkrieg wird der vierte mit Stöcken und Steinen geführt"" : Zitat Albert Einstein.",1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
84854,84854,2484029,"Puch the button  Die oberen 10.000 sitzen in ihren  A-Bunkern und eliminieren im Ernstfall den rest der Weltbevölkerung um eine ""schöne neue Welt"" zu gründen. Atombomben sind so sinvoll wie aus einen leeren Glas zu trinken. Man sollte Weltweit alle entsorgen und nur ein oder zwei auf den Weltraum richten falls ein Komet uns trifft.  ""Nach dem dritten Weltkrieg wird der vierte mit Stöcken und Steinen geführt"" : Zitat Albert Einstein.",1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
84721,84721,2457357,Sorry sollte der erste versuch unvollendet Gepostet sein. Heuchelei... gehts noch ein wenig dicker.  Mit ihrem WISSEN würde ich mich schwer hüten andere unwissend zu nemnen. Eine gewisse Arroganz und Überheblichkeit ist ja hier bei vielen zu erkennen. Aber sie sind der Knaller.  Ist Willich eigentlich noch anwesend oder hat er das Feld den Unwissenden überlassen.,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
84720,84720,2457345,Sorry sollte der erste versuch unvollendet Gepostet sein. Heuchelei... gehts noch ein wenig dicker.  Mit ihrem WISSEN würde ich mich schwer hüten andere unwissend zu nemnen. Eine gewisse Arroganz und Überheblichkeit ist ja hier bei vielen zu erkennen. Aber sie sind der Knaller.  Ist Willich eigentlich noch anwesend oder hat er das Feld den Unwissenden überlassen.,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
84609,84609,2432107,Die Plattform Radkurier24 hilft der Corona Risikogruppe bei ihren Besorgungen. Über den Live-Radar können Hilfesuchende aber auch Kunden immer sehen wo ein Fahrradkurier gerade unterwegs ist und diesen direkt via Handy kontaktieren um ihm seine Einkaufsliste mitzuteilen.  Besten Gruß und bleiben sie gesund! Radkurier24.com,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0
84608,84608,2432105,Die Plattform Radkurier24 hilft der Corona Risikogruppe bei ihren Besorgungen. Über den Live-Radar können Hilfesuchende aber auch Kunden immer sehen wo ein Fahrradkurier gerade unterwegs ist und diesen direkt via Handy kontaktieren um ihm seine Einkaufsliste mitzuteilen.  Besten Gruß und bleiben sie gesund! Radkurier24.com,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0
84539,84539,2422777,123,1,0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0
84531,84531,2422251,123,1,0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0
84518,84518,2420639,Rot & Grün halt....jetzt weiß jeder wo für diese beiden Parteien im Land stehen. Unkontrollierte- und unbegrenzte Aufnahme von Flüchtlingen aus sicheren Drittländern so wie es der Fall ist vor den Grenzen von Griechenland.  Das sinnfreie Gerede von Billstein und Co ist ja bekannt und von Klicki ebenfalls.,1,0,0,,,,,,,
84517,84517,2420635,Rot & Grün halt....jetzt weiß jeder wo für diese beiden Parteien im Land stehen. Unkontrollierte- und unbegrenzte Aufnahme von Flüchtlingen aus sicheren Drittländern so wie es der Fall ist vor den Grenzen von Griechenland.  Das sinnfreie Gerede von Billstein und Co ist ja bekannt und von Klicki ebenfalls.,1,0,0,,,,,,,
84461,84461,2411549,Nicht mein Bundespräsident!,1,0,0,,,,,,,
12379,12379,1966111,Nicht mein Bundespräsident!,0,0,0,,,,,,,
21290,21290,2005059,Nicht mein Bundespräsident!,0,0,0,,,,,,,
59305,59305,2162951,Nicht mein Bundespräsident!,0,0,0,,,,,,,
75726,75726,2230883,Nicht mein Bundespräsident!,0,0,0,,,,,,,
78291,78291,2241401,Nicht mein Bundespräsident!,0,0,0,,,,,,,
83915,83915,2362507,Nicht mein Bundespräsident!,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
84237,84237,2399007,gähn,1,0,0,,,,,,,
33705,33705,2056827,gähn,1,0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0
62827,62827,2177607,gähn,1,0,0,,,,,,,
62915,62915,2177937,gähn,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
84212,84212,2396611,Artgerecht ist nur die Freiheit! Gegen Zoos und Tierparks!,1,0,0,,,,,,,
83713,83713,2347581,Artgerecht ist nur die Freiheit! Gegen Zoos und Tierparks!,1,0,0,,,,,,,
83720,83720,2348279,Artgerecht ist nur die Freiheit! Gegen Zoos und Tierparks!,1,0,0,,,,,,,
83783,83783,2351427,Artgerecht ist nur die Freiheit! Gegen Zoos und Tierparks!,1,0,0,,,,,,,
84149,84149,2387427,Test,1,0,0,,,,,,,
11158,11158,1960447,Test,1,0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0
25917,25917,2024369,Test,1,1,3,0.0,0.0,0.0,0.0,0.0,3.0,0.0
61650,61650,2172773,Test,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
64777,64777,2184991,Test,1,0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0
79782,79782,2247651,Test,1,0,0,,,,,,,
84114,84114,2385881,"...und das ist auch gut so. Inshalla-Ramelow hat jetzt mehr Zeit, um sich für seine Neubürger zu engagieren. ""Willkommen-Rufe"" am Bahnhof reichen keinesfalls aus. ",1,0,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0
84113,84113,2385877,"...und das ist auch gut so. Inshalla-Ramelow hat jetzt mehr Zeit, um sich für seine Neubürger zu engagieren. ""Willkommen-Rufe"" am Bahnhof reichen keinesfalls aus. ",1,0,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0
84070,84070,2380287,"Sie werden mir immer sympathischer! Neben Ihrer auffälligen Selbstgerechtigkeit, man kann es auch Hochmut nennen, kommentieren Sie tatsächlich Tippfehler und benötigen hierfür mehr als einen Tag? Mussten Sie den Text so häufig lesen? Oder sprachen anderweitige „Termine“ gegen ein halbwegs zeitnahe Antwort? Inhaltlich ist ja leider recht wenig von Ihnen zu erwarten. Sodele, ich gehˋ jetzt mal ein wenig zur Arbeit. Glückauf",1,1,3,1.0,0.0,0.0,2.0,0.0,1.0,0.0
84069,84069,2380273,"Sie werden mir immer sympathischer! Neben Ihrer auffälligen Selbstgerechtigkeit, man kann es auch Hochmut nennen, kommentieren Sie tatsächlich Tippfehler und benötigen hierfür mehr als einen Tag? Mussten Sie den Text so häufig lesen? Oder sprachen anderweitige „Termine“ gegen ein halbwegs zeitnahe Antwort? Inhaltlich ist ja leider recht wenig von Ihnen zu erwarten. Sodele, ich gehˋ jetzt mal ein wenig zur Arbeit. Glückauf",1,0,2,0.0,0.0,0.0,2.0,0.0,1.0,0.0
83952,83952,2364549,"Es ist sehr gut, wenn man rassistische und rechtsradiakle Entgleisungen der NAZIS in die Schranken weist. Der Bürgermeister hat die richtige Linie eingeschlagen. Die Strategie ist folgerichtig. NAZIS haben in Deutschland kein Bleiberecht.",1,0,0,,,,,,,
