,Unnamed: 0,id,Text,Reject Newspaper,Reject Crowd,Rejection Count Crowd,Sexism Count Crowd,Racism Count Crowd,Threat Count Crowd,Insult Count Crowd,Profanity Count Crowd,Meta Count Crowd,Advertisement Count Crowd
84666,84666,2442967,"Als Gott zum Ende der Schöpfung sprach: ""Es ist noch etwas Hirn da."",  gab das Bobbele zurück: ""Kein Platz!"" ",1,0,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0
84654,84654,2441795,"Als Gott zum Ende der Schöpfung sprach: ""Es ist noch etwas Hirn da."",  gab das Bobbele zurück: ""Brauche ich nicht!""  ",1,0,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0
84501,84501,2418377,Heulsusen,1,1,4,0.0,0.0,0.0,3.0,0.0,2.0,0.0
58768,58768,2160841,Heulsuse!,1,1,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0
84275,84275,2399811,"Warum müssen die Hetzer, Hasser, Menschenverachter und Nichtsnutze hier eine Plattform finden, zumal das braune Volk nicht in der Lage ist, mit dem richtigen Namen hier zu agieren? ",1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
84268,84268,2399771,"Warum müssen die Hetzer, Hasser, Menschenverachter und Nichtsnutze hier eine Plattform finden, zumal das braune Volk nicht in der Lage ist, mit dem richtigen Namen hier zu agieren? Zeigt mal Eure Fratzen!",1,1,3,0.0,1.0,0.0,2.0,1.0,0.0,0.0
84249,84249,2399433,Wir schaffen das!,1,0,0,,,,,,,
34387,34387,2059571,Wir schaffen das.,1,0,0,,,,,,,
37717,37717,2073561,Wir schaffen das! ,1,0,0,,,,,,,
37762,37762,2073745,Wir schaffen das !,1,0,0,,,,,,,
65464,65464,2187937,Wir schaffen das!!,0,0,0,,,,,,,
84212,84212,2396611,Artgerecht ist nur die Freiheit! Gegen Zoos und Tierparks!,1,0,0,,,,,,,
22060,22060,2008281,Artgerecht ist nur die Freiheit! gegen Zoos und Tierparks!,0,0,0,,,,,,,
83735,83735,2348969,Artgerecht Ist nur die Freiheit! Gegen Zoos und Tierparks!,1,0,0,,,,,,,
84180,84180,2391531,"Vegan für Klima, Gesundheit und die Tiere!",1,0,0,,,,,,,
83532,83532,2326391,"Go vegan für Klima, Gesundheit und die Tiere !",1,0,0,,,,,,,
84176,84176,2390075,Das ist ein Test,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
79768,79768,2247565,Das ist ein Test.,1,0,0,,,,,,,
81516,81516,2254545,das ist ein test,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84115,84115,2385891,"...und das ist auch gut so. Inshalla-Ramelow hat jetzt mehr Zeit, um sich für seine Neubürger zu engagieren. ""Willkommen-Rufe"" am Bahnhof reichen keinesfalls aus.",1,0,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0
84113,84113,2385877,"...und das ist auch gut so. Inshalla-Ramelow hat jetzt mehr Zeit, um sich für seine Neubürger zu engagieren. ""Willkommen-Rufe"" am Bahnhof reichen keinesfalls aus. ",1,0,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0
84114,84114,2385881,"...und das ist auch gut so. Inshalla-Ramelow hat jetzt mehr Zeit, um sich für seine Neubürger zu engagieren. ""Willkommen-Rufe"" am Bahnhof reichen keinesfalls aus. ",1,0,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0
83783,83783,2351427,Artgerecht ist nur die Freiheit! Gegen Zoos und Tierparks!,1,0,0,,,,,,,
83781,83781,2351107,Die Tötung von Soleimani ist genauso wenig gerechtfertigt wie eine Tötung von z. B. Trump oder Netanjahu.,1,0,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0
83778,83778,2351057,Die Tötung von Soleimani ist genauso gerechtfertigt wie die Tötung von z. B. Trump oder Netanjahu.,1,1,3,0.0,0.0,3.0,0.0,1.0,0.0,0.0
83713,83713,2347581,Artgerecht ist nur die Freiheit! Gegen Zoos und Tierparks!,1,0,0,,,,,,,
83720,83720,2348279,Artgerecht ist nur die Freiheit! Gegen Zoos und Tierparks!,1,0,0,,,,,,,
83709,83709,2347427,Gegen Zoos und Tierparks! Artgerecht ist nur die Freiheit!,1,0,0,,,,,,,
14850,14850,1977025,gegen Zoos und Tierparks! Artgerecht ist nur die Freiheit!,0,0,0,,,,,,,
31920,31920,2049393,gegen Zoos und Tierparks! Artgerecht ist nur die Freiheit!,0,0,0,,,,,,,
40493,40493,2085269,gegen Zoos und Tierparks!  Artgerecht ist nur die Freiheit! ,0,0,0,,,,,,,
49246,49246,2121655,gegen Zoos und Tierparks! Artgerecht ist nur die Freiheit!,1,0,0,,,,,,,
60668,60668,2168353,Gegen Zoos und Tierparks!  Artgerecht ist nur die Freiheit!,1,0,0,,,,,,,
