text,label,five_folds,ten_folds,train_test_split
"""Ex-Verfassungsschutzchef Maaßen darf nicht in Unionsfraktion reden""  Es wird nun mal nicht gerne gehört, dass es in Chemnitz keine Hetzjagden auf Migranten gab.",0.0,4,8,1
Das kommt von der Hetze durch die etablierten Parteien und ihren Wählern.,1.0,4,8,1
"Eine neue Weltretterin! Dann hat sie hoffentlich auch Antworten auf den Mangel an bezahlbarem Wohnraum, zu wenige Kita-Plätze, die Folgen des Klimawandels, die Integration von Migranten, das immer teurere Gesundheitssystem, Jugendarbeitslosigkeit, den Brexit... Ansonsten ist sie für uns völlig irrelevant!",0.0,4,8,1
"Liebe RP, durchsichtiger geht es nicht....für wie dumm halten Sie Ihre Leser?",1.0,4,8,1
"Was wir von den Franzosen lernen können?.... eher nichts! Dass sie oder ihre Kinder und Enkel  diese ""Geschenke"" am Ende finanzieren müssen, ist ihnen wohl nicht klar. Wut macht eben blind und dumm. Frankreich fällt als Stabilitätsfaktor für Europa erst einmal aus und das Projekt "" Reform und Erneuerung der EU"" (angestoßen von Macron!) verliert seine Glaubwürdigkeit.",0.0,4,8,1
Bei allem Respekt für die Tiere.  Diese Aufmerksamkeit hätten sich die Opfer des Anschlags vom Breitscheidplatz und der Kölner Sylvesternacht auch gewünscht (Menschen),1.0,4,8,1
"Mit Ankündigungen kommt keiner weiter, es muss auch mal etwas umgesetzt werden. ",0.0,4,8,1
"Schon wieder ein Grund mehr, bei diesen ""Wahlen"" NICHT wählen zu gehen.",0.0,4,8,1
"Um diese Kosten etwas zu mildern, hätte man das Papier ja wieder aufrollen können und zur Verwertung im Stadion wieder einsetzen können. In der zweiten Halbzeit oder nach dem Spiel wäre das bestimmt den wenigsten aufgefallen.",0.0,4,8,1
"Religion, egal welche, ist in der Seele eine faschistische Institution und hat in der heutigen Zeit in Schulen nichts mehr verloren. Der Staat braucht mündige Bürger und keine `heiligen Krieger `.",1.0,4,8,1
Welches Ziel verfolgt die Bundesregierung?,0.0,4,8,1
Mit der Alternative schaffen wir das.,1.0,4,8,1
"Danke- für einen von Inhalt, Stil und Form ausgezeichneten Beitrag. So stelle ich mir (immer noch) qualitativ hochwertigen Journalismus vor. Liebe RP- werten Sie meinen Kommentar bitte als Aufforderung, Herrn Porwoll auch in Zukunft um Gastbeiträge zu Pharmazie und  Gesundheitspolitik einzuladen.",0.0,4,8,1
Die Wähler der Grünen sind ja wohl die Spießer in Person mit ihren SUV Autos.,1.0,4,8,1
"Wen adressiert die Autorin eigentlich mit diesem Artikel? Touristen aus Berlin oder etwa Hamburg? In Düsseldorf, ebenso wie in Köln, gibt es keine ""Kieze""! Hier heißt es immer noch Viertel oder eben auch Veedel! Soviel Selbstbewußtsein, die lokalen Bezeichnungen zu nutzen,  erwarte ich schon von meiner Lokalzeitung. Oder sind diese Begriffe nicht mehr hip genug für die avisierte Leserschaft?",0.0,4,8,1
"Mich würde einmal interessieren warum man kritische Artikel zu dem Thema Klima nur in alternativen Medien lesen kann wie z.B. Tichy ,Achgut oder Cicero ? Gestern war z.B. bei Tichy ein Artikel von Fritz Vahrenhold ehemals Hamburger Umweltsenator zu lesen der sich kritisch mit der Energiewende befasst. Ich habe seit einiger Zeit ein Abonoment bei der NZZ . Fühle mich dort einfach besser und vor  allen Dingen  objektiver informiert.",1.0,4,8,1
Lieber würde ich Elsen:  57.000 Steuerpflichtige müßten Steuern zahlen (tun es aber nicht).,1.0,4,8,1
"Wer hier von Immobilienblase redet, hat keine Ahnung, wie die Preise in anderen Europäischen Großstädten aussehen. Und wer hier von unbezahlbar spricht, der soll mal, z. B. in Prag oder Budapest nachfragen, wie man sich dort eine Wohnung leisten kann. Und dort ist die Eigentumsquote höher als in Deutschland.  Deutschland ist immer noch so billig, dass ausländische Investoren mit Kusshand zulangen.",0.0,4,8,1
"Prima sehr gut. Dann kann er sich ja jetzt und die wirklich ernsthaften gefahren und Gefährder für die Sicherheit der Rentner, Kinder und Frauen kümmern. ",1.0,4,8,1
was für ne billige propaganda!,0.0,4,8,1
"danke danke daaaaaaaaaaaaaaaaaaaaaaaaaaaaaaanke , so viele schlaglöcher gestopft , jetzt  läuft alles wieder glatt in remscheid , 3200 gestopft , 7400 neue dazugekommen - daaaaaaaaaaaaaaaaaanke !",1.0,4,8,1
"Da zeigt sich wieder die ""wehrwilligkeit"" der grünen Partei, die sehr genau zu beobachten wäre.",0.0,4,8,1
"Da Koran und Grundgesetz nicht miteinander kompatibel sind, kann es auch keinen muslimischen Bundeskanzler geben. Wobei ich mal dahin gestellt sein lasse, ob der Koran mit den Werten der CDU kompatibel sind.",1.0,4,8,1
"""...Über die Kosten wollte Ministerpräsident Laschet keine Auskunft geben...""  Kann ich nachvollziehen.  Wird vermutlich ein wenig teurer als ein ""Porträt"" im Pixi Foto Studio gewesen sein.",0.0,4,8,1
